,_id,ltable_id,rtable_id,ltable_authors,ltable_venue,ltable_year,rtable_authors,rtable_venue,rtable_year,is_matched
148,148,671342,conf/vldb/SheikholeslamiCZ98,"Gholamhosein Sheikholeslami, Surojit Chatterjee, Aidong Zhang",Very Large Data Bases,1998,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",VLDB,1998,1
149,149,671341,conf/vldb/BraumandlCK98,"Reinhard Braumandl, Jens Clau&#223;en, Alfons Kemper",Very Large Data Bases,1998,"Alfons Kemper, Reinhard Braumandl, Jens Claußen",VLDB,1998,0
150,150,671344,conf/vldb/Greco98,Sergio Greco,Very Large Data Bases,1998,Sergio Greco,VLDB,1998,1
151,151,671343,conf/vldb/Tygar98,J. D. Tygar,Very Large Data Bases,1998,J. D. Tygar,VLDB,1998,1
152,152,671346,conf/vldb/GoldmanSVG98,"Roy Goldman, Narayanan Shivakumar, Suresh Venkatasubramanian, Hector Garcia-Molina",Very Large Data Bases,1998,"Narayanan Shivakumar, Hector Garcia-Molina, Roy Goldman, Suresh Venkatasubramanian",VLDB,1998,1
153,153,671345,conf/vldb/RiedelGF98,"Erik Riedel, Garth A. Gibson, Christos Faloutsos",Very Large Data Bases,1998,"Garth A. Gibson, Erik Riedel, Christos Faloutsos",VLDB,1998,1
154,154,671347,conf/vldb/AcharyaGP99,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",Very Large Data Bases,1999,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",VLDB,1999,1
155,155,671351,conf/vldb/Johnson99,Theodore Johnson,Very Large Data Bases,1999,Theodore Johnson,VLDB,1999,1
157,157,671353,conf/vldb/Campbell99,David Campbell,Very Large Data Bases,1999,David Campbell,VLDB,1999,1
159,159,671356,conf/vldb/NaumannLF99,"Felix Naumann, Ulf Leser, Johann Christoph Freytag",Very Large Data Bases,1999,"Johann Christoph Freytag, Felix Naumann, Ulf Leser",VLDB,1999,1
160,160,671357,conf/vldb/ChengGKLLQS99,"Qi Cheng, Jarek Gryz, Fred Koo, T. Y. Cliff Leung, Linqi Liu, Xiaoyan Qian, K. Bernhard Schiefer",Very Large Data Bases,1999,"K. Bernhard Schiefer, Fred Koo, T. Y. Cliff Leung, Linqi Liu, Jarek Gryz, Xiaoyan Qian, Qi Cheng",VLDB,1999,1
161,161,671358,conf/vldb/Kornacker99,Marcel Kornacker,Very Large Data Bases,1999,Marcel Kornacker,VLDB,1999,1
162,162,671359,conf/vldb/ChaudhuriG99,"Surajit Chaudhuri, Luis Gravano",Very Large Data Bases,1999,"Luis Gravano, Surajit Chaudhuri",VLDB,1999,1
163,163,671360,conf/vldb/WangZL99,"Ke Wang, Senqiang Zhou, Shiang Chen Liew",Very Large Data Bases,1999,"Shiang Chen Liew, Senqiang Zhou, Ke Wang",VLDB,1999,1
164,164,671361,conf/vldb/DarmontS99,"J&#233;r&#244;me Darmont, Michel Schneider",Very Large Data Bases,1999,"Michel Schneider, Jérôme Darmont",VLDB,1999,0
165,165,671364,conf/vldb/BonczMK99,"Peter A. Boncz, Stefan Manegold, Martin L. Kersten",Very Large Data Bases,1999,"Stefan Manegold, Peter A. Boncz, Martin L. Kersten",VLDB,1999,1
166,166,671365,conf/vldb/ChanI99,"Chee Yong Chan, Yannis E. Ioannidis",Very Large Data Bases,1999,"Chee Yong Chan, Yannis E. Ioannidis",VLDB,1999,1
167,167,671493,conf/vldb/FlorescuLSY99,"Daniela Florescu, Alon Y. Levy, Dan Suciu, Khaled Yagoub",Very Large Data Bases,1999,"Khaled Yagoub, Dan Suciu, Alon Y. Levy, Daniela Florescu",VLDB,1999,1
168,168,671491,conf/vldb/PedersenJD99,"Torben Bach Pedersen, Christian S. Jensen, Curtis E. Dyreson",Very Large Data Bases,1999,"Torben Bach Pedersen, Curtis E. Dyreson, Christian S. Jensen",VLDB,1999,1
169,169,671498,conf/vldb/BernsteinPS99,"Philip A. Bernstein, Shankar Pal, David Shutt",Very Large Data Bases,1999,"Philip A. Bernstein, David Shutt, Shankar Pal",VLDB,1999,1
170,170,671496,conf/vldb/ChenCFGJMTW99,"Weidong Chen, Jyh-Herng Chow, You-Chin Fuh, Jean Grandbois, Michelle Jou, Nelson Mendon&#231;a Mattos, Brian T. Tran, Yun Wang",Very Large Data Bases,1999,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendonça Mattos",VLDB,1999,1
171,171,671495,conf/vldb/TamuraK99,"Masahisa Tamura, Masaru Kitsuregawa",Very Large Data Bases,1999,"Masahisa Tamura, Masaru Kitsuregawa",VLDB,1999,1
172,172,671502,conf/vldb/Dayal99,Umeshwar Dayal,Very Large Data Bases,1999,Umeshwar Dayal,VLDB,1999,1
173,173,671500,conf/vldb/Sarawagi99,Sunita Sarawagi,Very Large Data Bases,1999,Sunita Sarawagi,VLDB,1999,1
174,174,671499,conf/vldb/ShanmugasundaramGTZDN99,"Jayavel Shanmugasundaram, Kristin Tufte, Chun Zhang, Gang He, David J. DeWitt, Jeffrey F. Naughton",Very Large Data Bases,1999,"Jeffrey F. Naughton, Kristin Tufte, Chun Zhang, Gang He, David J. DeWitt, Jayavel Shanmugasundaram",VLDB,1999,1
176,176,671504,conf/vldb/PitouraC99,"Evaggelia Pitoura, Panos K. Chrysanthis",Very Large Data Bases,1999,"Evaggelia Pitoura, Panos K. Chrysanthis",VLDB,1999,1
178,178,671510,conf/vldb/DonjerkovicR99,"Donko Donjerkovic, Raghu Ramakrishnan",Very Large Data Bases,1999,"Donko Donjerkovic, Raghu Ramakrishnan",VLDB,1999,1
179,179,671507,conf/vldb/GohOST99,"Cheng Hian Goh, Beng Chin Ooi, D. Sim, Kian-Lee Tan",Very Large Data Bases,1999,"Cheng Hian Goh, Kian-Lee Tan, Beng Chin Ooi, D. Sim",VLDB,1999,1
180,180,671508,conf/vldb/Hamilton99,James R. Hamilton,Very Large Data Bases,1999,James R. Hamilton,VLDB,1999,1
181,181,671513,conf/vldb/BaumannDFRW99,"Peter Baumann, Andreas Dehmel, Paula Furtado, Roland Ritsch, Norbert Widmann",Very Large Data Bases,1999,"Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado, Andreas Dehmel",VLDB,1999,1
182,182,671511,conf/vldb/LakshmananSS99,"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",Very Large Data Bases,1999,"Fereidoon Sadri, Laks V. S. Lakshmanan, Subbu N. Subramanian",VLDB,1999,1
183,183,671517,conf/vldb/JermaineDO99,"Chris Jermaine, Anindya Datta, Edward Omiecinski",Very Large Data Bases,1999,"Anindya Datta, Chris Jermaine, Edward Omiecinski",VLDB,1999,1
185,185,671516,conf/vldb/GionisIM99,"Aristides Gionis, Piotr Indyk, Rajeev Motwani",Very Large Data Bases,1999,"Rajeev Motwani, Aristides Gionis, Piotr Indyk",VLDB,1999,1
186,186,671521,conf/vldb/PacittMS99,"Esther Pacitti, Pascale Minet, Eric Simon",Very Large Data Bases,1999,"Eric Simon, Esther Pacitti, Pascale Minet",VLDB,1999,1
187,187,671522,conf/vldb/CareyCNVDRSM99,"Michael J. Carey, Donald D. Chamberlin, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Richard Swagerman, Nelson Mendon&#231;a Mattos",Very Large Data Bases,1999,"Bennet Vance, Richard Swagerman, Michael J. Carey, Srinivasa Narayanan, Nelson Mendonça Mattos, Donald D. Chamberlin, Doug Doole, Serge Rielau",VLDB,1999,1
188,188,671519,conf/vldb/TanGO99,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",Very Large Data Bases,1999,"Beng Chin Ooi, Kian-Lee Tan, Cheng Hian Goh",VLDB,1999,1
189,189,671528,conf/vldb/Graefe99,Goetz Graefe,Very Large Data Bases,1999,Goetz Graefe,VLDB,1999,1
190,190,671530,conf/vldb/VriesDBA99,"Arjen P. de Vries, Mark G. L. M. van Doorn, Henk M. Blanken, Peter M. G. Apers",Very Large Data Bases,1999,"Mark G. L. M. van Doorn, Arjen P. de Vries, Henk M. Blanken, Peter M. G. Apers",VLDB,1999,1
191,191,671523,conf/vldb/ChakrabartiBD99,"Soumen Chakrabarti, Martin van den Berg, Byron Dom",Very Large Data Bases,1999,"Martin van den Berg, Soumen Chakrabarti, Byron Dom",VLDB,1999,1
192,192,671526,conf/vldb/Mohan99,C. Mohan,Very Large Data Bases,1999,C. Mohan,VLDB,1999,1
193,193,671525,conf/vldb/CarinoOBS99,"Felipe Cari&#241;o, William O'Connell, John Burgess, Joel H. Saltz",Very Large Data Bases,1999,"Joel H. Saltz, John Burgess, Felipe Cariño, William O'Connell",VLDB,1999,0
194,194,671666,conf/vldb/JagadishLS99,"H. V. Jagadish, Laks V. S. Lakshmanan, Divesh Srivastava",Very Large Data Bases,1999,"Laks V. S. Lakshmanan, H. V. Jagadish, Divesh Srivastava",VLDB,1999,1
195,195,671668,conf/vldb/KonigW99,"Arnd Christian K&#246;nig, Gerhard Weikum",Very Large Data Bases,1999,"Arnd Christian König, Gerhard Weikum",VLDB,1999,0
197,197,671662,conf/vldb/AilamakiDHW99,"Anastassia Ailamaki, David J. DeWitt, Mark D. Hill, David A. Wood",Very Large Data Bases,1999,"David A. Wood, Mark D. Hill, David J. DeWitt, Anastassia Ailamaki",VLDB,1999,1
198,198,671661,conf/vldb/NinkHR99,"Udo Nink, Theo H&#228;rder, Norbert Ritter",Very Large Data Bases,1999,"Theo Härder, Norbert Ritter, Udo Nink",VLDB,1999,0
201,201,671673,conf/vldb/JosifovskiR99,"Vanja Josifovski, Tore Risch",Very Large Data Bases,1999,"Tore Risch, Vanja Josifovski",VLDB,1999,1
202,202,671676,conf/vldb/SakuraiYUK00,"Yasushi Sakurai, Masatoshi Yoshikawa, Shunsuke Uemura, Haruhiko Kojima",Very Large Data Bases,2000,"Masatoshi Yoshikawa, Shunsuke Uemura, Yasushi Sakurai, Haruhiko Kojima",VLDB,2000,1
203,203,671677,conf/vldb/MillerHH00,"Ren&#233;e J. Miller, Laura M. Haas, Mauricio A. Hern&#225;ndez",Very Large Data Bases,2000,"Renée J. Miller, Mauricio A. Hernández, Laura M. Haas",VLDB,2000,0
205,205,671670,conf/vldb/DeRose99,Steven J. DeRose,Very Large Data Bases,1999,Steven J. DeRose,VLDB,1999,1
208,208,671682,conf/vldb/ShahabiFKF00,"Cyrus Shahabi, Adil Faisal, Farnoush Banaei Kashani, Jabed Faruque",Very Large Data Bases,2000,"Farnoush Banaei Kashani, Jabed Faruque, Adil Faisal, Cyrus Shahabi",VLDB,2000,1
209,209,671683,conf/vldb/Banerjee00,Sandeepan Banerjee,Very Large Data Bases,2000,Sandeepan Banerjee,VLDB,2000,1
210,210,671684,conf/vldb/LabioYCGW00,"Wilburt Labio, Jun Yang, Yingwei Cui, Hector Garcia-Molina, Jennifer Widom",Very Large Data Bases,2000,"Hector Garcia-Molina, Wilburt Labio, Yingwei Cui, Jennifer Widom, Jun Yang",VLDB,2000,1
213,213,671679,conf/vldb/ChoG00,"Junghoo Cho, Hector Garcia-Molina",Very Large Data Bases,2000,"Junghoo Cho, Hector Garcia-Molina",VLDB,2000,1
214,214,671680,conf/vldb/Brodie00,Michael L. Brodie,Very Large Data Bases,2000,Michael L. Brodie,VLDB,2000,1
215,215,671694,conf/vldb/CasatiS00,"Fabio Casati, Ming-Chien Shan",Very Large Data Bases,2000,"Fabio Casati, Ming-Chien Shan",VLDB,2000,1
216,216,671692,conf/vldb/PottingerL00,"Rachel Pottinger, Alon Y. Levy",Very Large Data Bases,2000,"Rachel Pottinger, Alon Y. Levy",VLDB,2000,1
217,217,671690,conf/vldb/PereiraFLS00,"Jo&#227;o Pereira, Fran&#231;oise Fabret, Fran&#231;ois Llirbat, Radu Preotiuc-Pietro, Kenneth A. Ross, Dennis Shasha",Very Large Data Bases,2000,"Dennis Shasha, Radu Preotiuc-Pietro, João Pereira, Kenneth A. Ross, François Llirbat, Françoise Fabret",VLDB,2000,0
218,218,671689,conf/vldb/YiF00,"Byoung-Kee Yi, Christos Faloutsos",Very Large Data Bases,2000,"Christos Faloutsos, Byoung-Kee Yi",VLDB,2000,1
219,219,671688,conf/vldb/JarkeKL00,"Matthias Jarke, Thomas List, J&#246;rg K&#246;ller",Very Large Data Bases,2000,"Matthias Jarke, Jörg Köller, Thomas List",VLDB,2000,0
220,220,671687,conf/vldb/WangZ00,"Haixun Wang, Carlo Zaniolo",Very Large Data Bases,2000,"Haixun Wang, Carlo Zaniolo",VLDB,2000,1
222,222,671702,conf/vldb/DeenJNNW00,"S. Misbah Deen, Anant Jhingran, Shamkant B. Navathe, Erich J. Neuhold, Gio Wiederhold",Very Large Data Bases,2000,"Shamkant B. Navathe, Erich J. Neuhold, Gio Wiederhold, Anant Jhingran, S. Misbah Deen",VLDB,2000,1
223,223,671701,conf/vldb/AgrawalCN00,"Sanjay Agrawal, Surajit Chaudhuri, Vivek R. Narasayya",Very Large Data Bases,2000,"Surajit Chaudhuri, Sanjay Agrawal, Vivek R. Narasayya",VLDB,2000,1
226,226,671696,conf/vldb/ChaudhuriW00,"Surajit Chaudhuri, Gerhard Weikum",Very Large Data Bases,2000,"Surajit Chaudhuri, Gerhard Weikum",VLDB,2000,1
227,227,671695,conf/vldb/ShanmugasundaramSBCLPR00,"Jayavel Shanmugasundaram, Eugene J. Shekita, Rimon Barr, Michael J. Carey, Bruce G. Lindsay, Hamid Pirahesh, Berthold Reinwald",Very Large Data Bases,2000,"Berthold Reinwald, Jayavel Shanmugasundaram, Michael J. Carey, Eugene J. Shekita, Hamid Pirahesh, Bruce G. Lindsay, Rimon Barr",VLDB,2000,1
228,228,671842,conf/vldb/PedersenJD00,"Torben Bach Pedersen, Christian S. Jensen, Curtis E. Dyreson",Very Large Data Bases,2000,"Curtis E. Dyreson, Torben Bach Pedersen, Christian S. Jensen",VLDB,2000,1
229,229,671843,conf/vldb/StohrMR00,"Thomas St&#246;hr, Holger M&#228;rtens, Erhard Rahm",Very Large Data Bases,2000,"Holger Märtens, Erhard Rahm, Thomas Stöhr",VLDB,2000,0
230,230,671840,conf/vldb/Tsur00,Shalom Tsur,Very Large Data Bases,2000,Shalom Tsur,VLDB,2000,1
232,232,671838,conf/vldb/Team00,,Very Large Data Bases,2000,?,VLDB,2000,0
233,233,671839,conf/vldb/AdiBEY00,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,1
234,234,671836,conf/vldb/NetzCBF00,"Amir Netz, Surajit Chaudhuri, Jeff Bernhardt, Usama M. Fayyad",Very Large Data Bases,2000,"Amir Netz, Surajit Chaudhuri, Jeff Bernhardt, Usama M. Fayyad",VLDB,2000,1
237,237,671847,conf/vldb/WuFSP00,"Leejay Wu, Christos Faloutsos, Katia P. Sycara, Terry R. Payne",Very Large Data Bases,2000,"Christos Faloutsos, Leejay Wu, Katia P. Sycara, Terry R. Payne",VLDB,2000,1
238,238,671845,conf/vldb/SchaeferBBJ00,"Elvira Schaefer, Jan-Dirk Becker, Andreas Boehmer, Matthias Jarke",Very Large Data Bases,2000,"Jan-Dirk Becker, Matthias Jarke, Andreas Boehmer, Elvira Schaefer",VLDB,2000,1
239,239,640992,journals/sigmod/GottlobKP03a,"Georg Gottlob, Christoph Koch, Reinhard Pichler",ACM SIGMOD Record,2003,"Reinhard Pichler, Christoph Koch, Georg Gottlob",SIGMOD Record,2003,1
240,240,641272,journals/vldb/ChirkovaHS02,"Rada Chirkova, Alon Y. Halevy, Dan Suciu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002,"Rada Chirkova, Dan Suciu, Alon Y. Halevy",VLDB J.,2002,1
242,242,670999,conf/vldb/BernsteinHSSZ97,"Philip A. Bernstein, Brian Harry, Paul Sanders, David Shutt, Jason Zander",Very Large Data Bases,1997,"David Shutt, Jason Zander, Brian Harry, Paul Sanders, Philip A. Bernstein",VLDB,1997,1
243,243,671000,conf/vldb/HumborstadSHT97,"Rune Humborstad, Maitrayi Sabaratnam, Svein-Olaf Hvasshovd, &#216;ystein Torbj&#248;rnsen",Very Large Data Bases,1997,"Maitrayi Sabaratnam, Øystein Torbjørnsen, Rune Humborstad, Svein-Olaf Hvasshovd",VLDB,1997,0
244,244,670998,conf/vldb/WildfogelY97,"D. Wildfogel, Ramana Yerneni",Very Large Data Bases,1997,"D. Wildfogel, Ramana Yerneni",VLDB,1997,1
245,245,671003,conf/vldb/ChatziantoniouR97,"Damianos Chatziantoniou, Kenneth A. Ross",Very Large Data Bases,1997,"Kenneth A. Ross, Damianos Chatziantoniou",VLDB,1997,1
247,247,671001,conf/vldb/KietzRS97,"J&#246;rg-Uwe Kietz, Ulrich Reimer, Martin Staudt",Very Large Data Bases,1997,"Jörg-Uwe Kietz, Ulrich Reimer, Martin Staudt",VLDB,1997,1
248,248,671002,conf/vldb/MaratheS97,"Arunprasad P. Marathe, Kenneth Salem",Very Large Data Bases,1997,"Arunprasad P. Marathe, Kenneth Salem",VLDB,1997,1
249,249,670991,conf/vldb/LlirbatST97,"Fran&#231;ois Llirbat, Eric Simon, Dimitri Tombroff",Very Large Data Bases,1997,"Dimitri Tombroff, Eric Simon, François Llirbat",VLDB,1997,1
250,250,670992,conf/vldb/RothS97,"Mary Tork Roth, Peter M. Schwarz",Very Large Data Bases,1997,"Peter M. Schwarz, Mary Tork Roth",VLDB,1997,1
251,251,641273,journals/vldb/AguileraCMVV02,"Vincent Aguilera, Sophie Cluet, Tova Milo, Pierangelo Veltri, Dan Vodislav",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002,"Vincent Aguilera, Dan Vodislav, Pierangelo Veltri, Sophie Cluet, Tova Milo",VLDB J.,2002,1
252,252,641274,journals/vldb/HuntAI02,"Ela Hunt, Malcolm P. Atkinson, Robert W. Irving",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002,"Robert W. Irving, Malcolm P. Atkinson, Ela Hunt",VLDB J.,2002,1
253,253,670996,conf/vldb/HuangJR97,"Yun-Wu Huang, Ning Jing, Elke A. Rundensteiner",Very Large Data Bases,1997,"Ning Jing, Yun-Wu Huang, Elke A. Rundensteiner",VLDB,1997,1
254,254,670993,conf/vldb/RossS97,"Kenneth A. Ross, Divesh Srivastava",Very Large Data Bases,1997,"Divesh Srivastava, Kenneth A. Ross",VLDB,1997,1
256,256,671016,conf/vldb/BerckenSW97,"Jochen Van den Bercken, Bernhard Seeger, Peter Widmayer",Very Large Data Bases,1997,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken",VLDB,1997,1
257,257,671015,conf/vldb/LeeLWS97,"Jong-Hak Lee, Young-Koo Lee, Kyu-Young Whang, Il-Yeol Song",Very Large Data Bases,1997,"Kyu-Young Whang, Il-Yeol Song, Young-Koo Lee, Jong-Hak Lee",VLDB,1997,1
258,258,671014,conf/vldb/AtzeniMM97,"Paolo Atzeni, Giansalvatore Mecca, Paolo Merialdo",Very Large Data Bases,1997,"Paolo Merialdo, Giansalvatore Mecca, Paolo Atzeni",VLDB,1997,1
259,259,671013,conf/vldb/JagadishNSSK97,"H. V. Jagadish, P. P. S. Narayan, S. Seshadri, S. Sudarshan, Rama Kanneganti",Very Large Data Bases,1997,"S. Sudarshan, P. P. S. Narayan, Rama Kanneganti, H. V. Jagadish, S. Seshadri",VLDB,1997,1
260,260,671020,conf/vldb/AlonsoHST97,"Gustavo Alonso, Claus Hagen, Hans-J&#246;rg Schek, Markus Tresch",Very Large Data Bases,1997,"Claus Hagen, Hans-Jörg Schek, Gustavo Alonso, Markus Tresch",VLDB,1997,1
262,262,671018,conf/vldb/ShaferA97,"John C. Shafer, Rakesh Agrawal",Very Large Data Bases,1997,"Rakesh Agrawal, John C. Shafer",VLDB,1997,1
263,263,671017,conf/vldb/BohannonLRSSS97,"Rajeev Rastogi, S. Seshadri, Philip Bohannon, Dennis W. Leinbaugh, Abraham Silberschatz, S. Sudarshan",Very Large Data Bases,1997,"S. Seshadri, Rajeev Rastogi, Abraham Silberschatz, Philip Bohannon, Dennis W. Leinbaugh, S. Sudarshan",VLDB,1997,1
264,264,671008,conf/vldb/GoldmanW97,"Roy Goldman, Jennifer Widom",Very Large Data Bases,1997,"Roy Goldman, Jennifer Widom",VLDB,1997,1
265,265,671007,conf/vldb/ChristodoulakisTZ97,"Stavros Christodoulakis, Peter Triantafillou, Fenia Zioga",Very Large Data Bases,1997,"Fenia Zioga, Peter Triantafillou, Stavros Christodoulakis",VLDB,1997,1
266,266,671006,conf/vldb/ZhangL97,"Weiye Zhang, Per-&#197;ke Larson",Very Large Data Bases,1997,"Weiye Zhang, Per-Åke Larson",VLDB,1997,1
267,267,671005,conf/vldb/CiacciaPZ97,"Paolo Ciaccia, Marco Patella, Pavel Zezula",Very Large Data Bases,1997,"Paolo Ciaccia, Pavel Zezula, Marco Patella",VLDB,1997,1
268,268,671012,conf/vldb/DesslochM97,"Stefan De&#223;loch, Nelson Mendon&#231;a Mattos",Very Large Data Bases,1997,"Stefan Deßloch, Nelson Mendonça Mattos",VLDB,1997,1
269,269,671011,conf/vldb/BridgeJKLLM97,"William Bridge, Ashok Joshi, M. Keihl, Tirthankar Lahiri, Juan Loaiza, N. MacNaughton",Very Large Data Bases,1997,"Ashok Joshi, N. MacNaughton, Juan Loaiza, M. Keihl, Tirthankar Lahiri, William Bridge",VLDB,1997,1
271,271,671009,conf/vldb/KumarKA97,"Suresh Kumar, Eng-Kee Kwang, Divyakant Agrawal",Very Large Data Bases,1997,"Suresh Kumar, Eng-Kee Kwang, Divyakant Agrawal",VLDB,1997,1
272,272,671160,conf/vldb/GraefeBC98,"Goetz Graefe, Ross Bunker, Shaun Cooper",Very Large Data Bases,1998,"Shaun Cooper, Goetz Graefe, Ross Bunker",VLDB,1998,1
277,277,671031,conf/vldb/CarinoO98,"Felipe Cari&#241;o, William O'Connell",Very Large Data Bases,1998,"Felipe Cariño, William O'Connell",VLDB,1998,1
278,278,671025,conf/vldb/KornLKF98,"Flip Korn, Alexandros Labrinidis, Yannis Kotidis, Christos Faloutsos",Very Large Data Bases,1998,"Yannis Kotidis, Christos Faloutsos, Flip Korn, Alexandros Labrinidis",VLDB,1998,1
279,279,671027,conf/vldb/SilversteinBMU98,"Craig Silverstein, Sergey Brin, Rajeev Motwani, Jeffrey D. Ullman",Very Large Data Bases,1998,"Sergey Brin, Craig Silverstein, Rajeev Motwani, Jeffrey D. Ullman",VLDB,1998,1
280,280,671028,conf/vldb/VenkataramanZ98,"Shivakumar Venkataraman, Tian Zhang",Very Large Data Bases,1998,"Shivakumar Venkataraman, Tian Zhang",VLDB,1998,1
281,281,671021,conf/vldb/ChavdaW97,"Manoj Chavda, Peter T. Wood",Very Large Data Bases,1997,"Manoj Chavda, Peter T. Wood",VLDB,1997,1
282,282,671022,conf/vldb/ChangG97,"Edward Y. Chang, Hector Garcia-Molina",Very Large Data Bases,1997,"Edward Y. Chang, Hector Garcia-Molina",VLDB,1997,1
283,283,671023,conf/vldb/BamfordBKM98,"Roger Bamford, D. Butler, Boris Klots, N. MacNaughton",Very Large Data Bases,1998,"D. Butler, Boris Klots, Roger Bamford, N. MacNaughton",VLDB,1998,1
284,284,671024,conf/vldb/OzsuVU98,"M. Tamer &#214;zsu, Kaladhar Voruganti, Ronald C. Unrau",Very Large Data Bases,1998,"Ronald C. Unrau, Kaladhar Voruganti, M. Tamer Özsu",VLDB,1998,1
286,286,671181,conf/vldb/Schoning98,Harald Sch&#246;ning,Very Large Data Bases,1998,Harald Schöning,VLDB,1998,1
287,287,671175,conf/vldb/BaulierBGJGKKMMNNRSS98,"Jerry Baulier, Philip Bohannon, S. Gogate, S. Joshi, C. Gupta, A. Khivesera, Henry F. Korth, Peter McIlroy, J. Miller, P. P. S. Narayan, M. Nemeth, Rajeev Rastogi, Abraham Silberschatz, S. Sudarshan",Very Large Data Bases,1998,"P. P. S. Narayan, S. Joshi, M. Nemeth, Abraham Silberschatz, Henry F. Korth, A. Khivesera, Jerry Baulier, S. Sudarshan, Philip Bohannon, Peter McIlroy, J. Miller, S. Gogate, Rajeev Rastogi, C. Gupta",VLDB,1998,1
288,288,671173,conf/vldb/Moerkotte98,Guido Moerkotte,Very Large Data Bases,1998,Guido Moerkotte,VLDB,1998,1
289,289,671176,conf/vldb/Mihalisin98,Ted Mihalisin,Very Large Data Bases,1998,Ted Mihalisin,VLDB,1998,1
290,290,671169,conf/vldb/Shaw98,David Elliot Shaw,Very Large Data Bases,1998,David Elliot Shaw,VLDB,1998,1
291,291,671165,conf/vldb/DoDJJR98,"Lyman Do, Pamela Drew, Wei Jin, Vish Jumani, David Van Rossum",Very Large Data Bases,1998,"Vish Jumani, Lyman Do, David Van Rossum, Pamela Drew, Wei Jin",VLDB,1998,1
293,293,671197,conf/vldb/HelmerWM98,"Sven Helmer, Till Westmann, Guido Moerkotte",Very Large Data Bases,1998,"Sven Helmer, Guido Moerkotte, Till Westmann",VLDB,1998,1
294,294,671194,conf/vldb/RezendeH98,"Fernando de Ferreira Rezende, Klaudia Hergula",Very Large Data Bases,1998,"Klaudia Hergula, Fernando de Ferreira Rezende",VLDB,1998,1
295,295,671195,conf/vldb/RezendeS98,"Fernando de Ferreira Rezende, G&#252;nter Sauter",Very Large Data Bases,1998,"Günter Sauter, Fernando de Ferreira Rezende",VLDB,1998,1
296,296,671193,conf/vldb/GarofalakisIO98,"Minos N. Garofalakis, Yannis E. Ioannidis, Banu &#214;zden",Very Large Data Bases,1998,"Yannis E. Ioannidis, Minos N. Garofalakis, Banu Özden",VLDB,1998,1
297,297,671191,conf/vldb/JagadishKMPSS98,"H. V. Jagadish, Nick Koudas, S. Muthukrishnan, Viswanath Poosala, Kenneth C. Sevcik, Torsten Suel",Very Large Data Bases,1998,"S. Muthukrishnan, H. V. Jagadish, Kenneth C. Sevcik, Torsten Suel, Nick Koudas, Viswanath Poosala",VLDB,1998,1
298,298,671189,conf/vldb/ShuklaDN98,"Amit Shukla, Prasad Deshpande, Jeffrey F. Naughton",Very Large Data Bases,1998,"Jeffrey F. Naughton, Amit Shukla, Prasad Deshpande",VLDB,1998,1
299,299,671184,conf/vldb/JoshiBLL98,"Ashok Joshi, William Bridge, Juan Loaiza, Tirthankar Lahiri",Very Large Data Bases,1998,"Juan Loaiza, Ashok Joshi, Tirthankar Lahiri, William Bridge",VLDB,1998,1
300,300,671182,conf/vldb/ZouS98,"Chendong Zou, Betty Salzberg",Very Large Data Bases,1998,"Betty Salzberg, Chendong Zou",VLDB,1998,1
301,301,671332,conf/vldb/ZhangL98,"Weiye Zhang, Per-&#197;ke Larson",Very Large Data Bases,1998,"Per-Åke Larson, Weiye Zhang",VLDB,1998,1
302,302,671330,conf/vldb/GehrkeRG98,"Johannes Gehrke, Raghu Ramakrishnan, Venkatesh Ganti",Very Large Data Bases,1998,"Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan",VLDB,1998,1
303,303,671329,conf/vldb/Ganguly98,Sumit Ganguly,Very Large Data Bases,1998,Sumit Ganguly,VLDB,1998,1
304,304,671328,conf/vldb/ChakrabartiSD98,"Soumen Chakrabarti, Sunita Sarawagi, Byron Dom",Very Large Data Bases,1998,"Soumen Chakrabarti, Byron Dom, Sunita Sarawagi",VLDB,1998,1
305,305,671327,conf/vldb/JohnsonM98,"Theodore Johnson, Ethan L. Miller",Very Large Data Bases,1998,"Ethan L. Miller, Theodore Johnson",VLDB,1998,1
